altitude	exposition	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu
2730	54	11	268	56	285	226	217	123	2347
2724	62	16	242	50	256	232	206	102	2323
2715	65	19	212	41	228	234	197	87	2298
2705	59	17	182	30	201	231	202	98	2274
2699	52	14	153	25	175	226	209	113	2250
2693	45	12	124	19	150	223	214	123	2226
2690	39	10	95	25	124	221	217	130	2202
2746	76	18	362	68	371	239	204	89	2405
2739	71	11	335	65	351	232	219	118	2380
2736	50	7	306	62	323	224	225	136	2355
2734	55	10	277	60	295	226	220	127	2330
2728	65	14	247	54	268	233	210	106	2305
2720	67	18	218	45	242	235	201	91	2281
2704	55	13	162	30	190	228	211	113	2232
2698	45	12	134	33	162	223	214	124	2208
2695	43	11	108	29	134	222	216	127	2184
2749	73	20	371	75	390	239	198	81	2388
2738	48	7	313	64	335	223	225	138	2338
2736	61	9	285	62	309	227	222	128	2313
2730	69	13	256	55	283	233	214	110	2288
2723	71	17	228	49	256	236	205	95	2264
2713	67	16	201	39	228	234	206	99	2239
2707	57	13	175	42	201	228	213	116	2215
2702	47	11	150	36	175	224	217	126	2190
2699	50	11	120	31	150	225	216	124	2166
2752	70	21	379	78	402	238	194	78	2372
2741	55	8	323	67	350	225	223	132	2322
2738	71	9	295	63	323	230	223	126	2297
2733	77	12	268	59	295	235	218	113	2271
2726	77	15	240	52	268	238	211	100	2247
2717	69	14	210	52	240	234	210	104	2222
2711	58	12	180	45	210	228	215	117	2197
2706	49	10	150	38	180	224	218	127	2173
2770	71	24	418	96	443	238	187	66	2382
2757	68	22	390	83	417	236	192	76	2356
2738	80	10	300	64	330	234	223	120	2280
2733	89	12	270	59	300	237	221	113	2255
2726	86	13	240	61	270	239	217	107	2230
2719	74	12	210	53	240	234	217	114	2205
2714	61	11	180	46	210	229	218	121	2180
2709	53	9	150	41	180	226	220	128	2155
2706	59	11	120	43	150	228	217	120	2131
2786	70	25	450	112	480	238	184	63	2393
2774	68	23	420	100	450	237	187	69	2367
2762	66	22	390	88	420	235	190	76	2341
2746	60	14	330	72	360	230	211	110	2290
2733	79	12	270	68	300	236	217	110	2239
2726	77	12	240	60	270	235	218	113	2214
2721	65	10	210	53	240	230	220	123	2188
2717	58	10	180	49	210	228	218	123	2163
2712	53	9	150	49	180	226	220	128	2138
2818	63	22	510	144	540	233	188	76	2430
2805	68	26	480	131	510	236	179	59	2404
2791	67	25	450	117	480	235	181	62	2378
2768	62	22	390	93	420	233	188	76	2326
2757	57	19	360	83	390	230	197	94	2300
2751	59	17	330	77	360	230	203	101	2274
2742	68	16	300	77	330	235	206	99	2248
2735	71	14	270	69	300	235	213	107	2223
2728	66	11	240	60	270	231	217	117	2197
2724	55	10	210	56	240	226	220	127	2172
2715	51	10	150	49	180	225	219	127	2122
2712	59	11	120	44	150	228	216	119	2097
2705	70	17	90	35	120	236	205	96	2072
2833	57	17	541	159	570	230	202	99	2442
2824	64	22	511	150	540	234	190	78	2416
2811	66	26	481	137	510	235	179	61	2389
2797	63	26	451	123	480	232	179	63	2363
2763	51	20	361	89	390	225	191	91	2285
2745	58	20	301	79	330	230	193	87	2233
2737	58	16	272	69	300	230	203	101	2207
2731	54	13	242	63	270	227	212	116	2182
2727	51	10	212	64	240	225	218	126	2156
2719	53	10	153	51	180	226	219	127	2105
2715	62	11	124	45	150	230	216	118	2080
2837	62	17	543	163	571	232	202	97	2429
2828	66	20	514	154	541	235	195	84	2402
2804	59	25	454	129	481	229	179	68	2349
2793	54	24	424	119	451	226	180	75	2322
2782	52	25	395	108	421	224	179	75	2296
2771	45	22	365	106	391	220	186	90	2270
2765	44	22	335	99	361	219	185	90	2244
2744	50	21	277	76	301	224	190	90	2192
2736	50	16	247	73	272	225	203	107	2166
2726	54	10	190	58	212	226	218	124	2115
2711	60	14	108	38	124	230	210	109	2039
2704	52	17	85	27	95	226	202	104	2014
2841	64	18	547	167	573	233	200	92	2415
2832	64	19	518	158	543	234	199	90	2388
2823	62	21	488	148	514	232	191	81	2361
2812	59	23	459	138	484	230	184	75	2335
2801	55	23	430	127	454	227	184	78	2308
2791	54	24	400	126	424	226	183	78	2282
2780	46	21	371	114	395	221	189	93	2255
2742	57	18	256	76	277	230	198	95	2151
2735	59	14	228	67	247	230	210	110	2125
2725	58	10	175	54	190	228	218	123	2073
2720	61	11	150	47	162	229	217	120	2048
2710	45	14	108	33	108	223	210	118	1997
2855	62	21	582	181	607	233	193	83	2429
2845	64	20	553	171	577	234	196	86	2402
2836	63	18	524	161	547	233	201	93	2375
2828	61	19	495	154	518	232	197	90	2348
2818	60	22	466	144	488	231	190	80	2321
2807	57	22	437	142	459	229	189	82	2294
2798	55	22	408	132	430	227	187	82	2268
2787	47	20	379	119	400	222	192	96	2241
2782	46	21	351	114	371	221	190	95	2215
2771	57	25	323	108	342	228	178	69	2188
2738	63	16	242	68	256	232	206	101	2110
2732	59	11	216	61	228	228	216	119	2084
2728	59	11	192	55	201	228	218	121	2058
2718	51	10	150	41	150	225	219	127	2007
2850	68	21	560	175	582	236	193	79	2389
2840	69	18	532	166	553	236	203	92	2362
2833	70	17	503	159	524	236	205	96	2335
2824	69	19	474	159	495	237	199	87	2308
2814	66	19	446	148	466	235	198	87	2281
2795	55	17	390	127	408	228	202	101	2227
2790	54	18	362	127	379	228	199	98	2201
2779	64	24	335	113	351	234	183	68	2174
2765	65	25	309	97	323	234	181	65	2148
2753	66	23	283	83	295	235	188	74	2121
2742	66	18	258	71	268	235	201	92	2095
2731	63	11	212	54	216	230	218	120	2043
2725	65	11	190	48	192	230	218	120	2017
2721	60	8	162	48	170	227	223	131	1991
2717	66	9	108	46	120	229	221	124	1940
2854	72	23	569	180	589	239	190	71	2376
2842	76	19	541	168	560	240	201	84	2349
2834	80	16	513	169	532	240	210	95	2322
2825	81	17	485	159	503	241	208	92	2295
2816	78	17	457	148	474	240	206	91	2268
2807	76	17	430	139	446	239	206	92	2241
2798	69	14	402	135	418	234	211	106	2214
2793	65	15	376	127	390	233	208	103	2187
2783	70	22	350	115	362	237	190	73	2160
2770	68	24	324	100	335	236	184	66	2134
2758	69	24	300	87	309	237	185	66	2107
2745	70	20	277	72	283	237	198	83	2081
2738	64	12	255	61	258	231	215	114	2054
2733	66	11	228	56	234	231	217	117	2028
2727	72	11	201	54	210	233	218	116	2002
2722	79	8	175	49	180	231	225	126	1976
2718	98	7	150	47	150	231	231	132	1950
2715	109	10	120	36	120	238	229	121	1924
2858	74	25	579	184	598	240	185	62	2364
2845	78	21	552	180	569	242	195	74	2336
2827	80	16	497	159	513	240	210	95	2282
2818	78	17	470	150	485	240	207	93	2255
2801	67	13	417	135	430	233	213	110	2200
2796	63	14	391	128	402	232	211	108	2173
2788	68	21	366	118	376	236	194	80	2147
2775	67	23	342	104	350	236	186	69	2120
2764	71	26	319	91	324	238	181	59	2093
2748	72	22	295	71	300	239	193	74	2067
2741	65	13	268	64	272	232	214	112	2040
2736	67	12	240	63	242	232	215	113	2014
2729	74	12	210	56	212	235	216	111	1987
2723	81	11	180	52	182	235	221	117	1961
2718	96	10	150	39	153	236	226	121	1935
2713	105	11	120	34	124	240	226	115	1909
2876	67	22	570	-51	636	236	191	76	2379
2862	75	26	571	-65	607	241	180	53	2352
2847	79	24	564	181	579	243	190	63	2324
2836	81	18	537	168	552	241	206	88	2297
2828	78	15	510	160	524	238	211	100	2269
2820	75	16	484	157	497	238	207	95	2242
2811	71	16	458	145	470	236	208	99	2215
2804	63	13	433	136	443	231	213	112	2188
2792	66	19	384	121	391	235	198	87	2133
2780	67	23	361	107	365	235	188	73	2106
2769	71	27	331	92	335	238	177	53	2080
2744	63	14	272	71	277	232	211	109	2026
2738	67	13	242	65	247	233	213	110	1999
2724	83	13	182	45	190	238	216	106	1947
2717	97	12	153	38	162	240	222	110	1920
2711	105	13	124	37	134	241	224	110	1894
2704	105	13	95	24	108	241	224	110	1868
2850	78	25	543	-77	591	243	186	59	2312
2837	71	19	547	169	564	237	201	88	2285
2830	60	15	525	167	537	231	207	105	2257
2823	58	17	499	157	510	230	202	99	2230
2814	54	17	474	146	484	228	201	101	2202
2808	45	15	450	138	458	223	205	112	2175
2802	41	16	424	131	430	221	204	115	2148
2797	51	20	395	124	400	226	192	92	2120
2785	56	24	365	108	371	227	182	75	2093
2775	63	29	335	98	342	231	167	49	2066
2755	61	27	306	82	313	231	174	60	2039
2716	72	15	162	42	175	236	209	100	1906
2702	79	12	108	23	124	236	218	112	1853
2697	77	13	85	18	95	236	216	108	1827
2836	45	16	524	-91	551	223	204	111	2245
2830	45	18	516	162	524	222	197	103	2218
2816	33	19	459	145	466	213	196	112	2163
2811	30	19	430	138	437	211	196	115	2135
2785	56	31	342	112	351	222	158	47	2053
2758	38	23	285	87	295	213	184	96	1999
2742	47	22	228	63	242	222	186	88	1945
2732	54	22	201	58	216	227	186	82	1919
2706	55	15	124	27	134	228	207	108	1839
2701	58	15	95	22	108	230	208	108	1812
2820	30	19	437	143	446	211	196	116	2123
2815	37	21	408	138	418	214	189	101	2096
2806	44	25	379	133	390	217	176	81	2068
2795	56	31	351	122	362	222	157	46	2041
2768	41	23	295	89	309	215	182	90	1986
2759	44	22	268	80	283	219	185	90	1959
2739	57	24	216	59	228	228	183	75	1905
2729	56	21	190	50	201	229	191	85	1878
2720	59	19	162	41	175	230	196	90	1852
2711	59	16	134	32	150	230	204	101	1825
2705	61	15	108	38	127	231	208	106	1798
2697	65	18	85	30	108	234	201	92	1772
2805	56	32	362	134	376	222	156	44	2029
2778	44	24	309	99	323	217	179	83	1974
2746	59	25	228	67	242	230	180	69	1892
2735	58	22	201	56	216	230	188	80	1865
2725	61	21	175	46	192	232	192	83	1838
2715	62	18	150	48	170	232	201	94	1811
2708	60	15	127	41	150	231	207	105	1784
2701	61	17	108	34	127	231	202	98	1758
2692	58	19	85	27	108	230	197	93	1731
2788	49	25	323	114	335	221	178	78	1962
2776	52	24	295	96	309	224	181	78	1934
2767	57	24	268	88	283	228	181	72	1907
2742	58	23	216	63	234	229	184	76	1852
2731	59	23	192	64	212	230	186	77	1825
2720	58	20	170	53	192	230	193	87	1798
2706	60	17	120	41	150	231	203	100	1744
2698	64	17	90	26	120	233	202	95	1717
2796	52	25	335	116	350	223	178	75	1950
2773	60	25	283	94	300	230	179	67	1895
2749	58	23	234	82	255	229	184	75	1840
2738	58	23	210	71	234	229	184	75	1812
2727	56	22	180	60	210	228	188	82	1785
2718	56	19	150	53	180	229	197	94	1758
2710	66	18	120	38	150	235	201	91	1731
2700	74	17	90	28	120	238	205	92	1704
2780	62	26	300	101	319	231	176	62	1883
2767	61	24	272	100	297	231	182	69	1855
2756	58	23	242	89	270	229	184	76	1828
2734	58	22	182	69	210	230	187	79	1773
2714	70	21	124	42	150	237	193	77	1718
2695	72	14	67	23	90	235	212	105	1664
2786	63	28	306	119	331	232	172	55	1872
2773	60	24	277	106	301	231	182	71	1844
2752	58	24	218	87	242	229	182	73	1788
2730	62	22	162	58	182	233	188	76	1733
2718	72	25	134	46	153	239	185	63	1706
2704	76	20	108	32	124	240	199	80	1678
2697	74	14	85	22	95	236	213	106	1651
2793	60	30	313	126	335	227	164	48	1861
2780	55	25	285	113	306	226	177	70	1833
2760	56	25	228	88	247	227	178	70	1777
2747	58	25	201	75	218	229	179	69	1749
2723	70	28	150	51	162	237	175	51	1694
2706	72	23	120	31	134	239	190	71	1666
2699	66	15	90	24	108	233	210	105	1639
2789	52	27	295	124	313	222	170	66	1822
2779	49	25	268	107	285	222	178	77	1794
2768	55	26	240	96	256	225	175	67	1766
2755	58	26	210	83	228	228	175	64	1738
2814	55	32	330	149	351	220	155	44	1841
2788	50	26	270	116	295	221	175	73	1784
2777	55	27	240	105	268	225	172	64	1756
2750	63	27	180	75	210	231	172	56	1699
2735	69	31	150	60	180	235	163	37	1671
2707	62	17	90	38	120	232	202	97	1616
2840	48	28	360	175	390	217	168	68	1860
2826	53	32	330	154	360	218	154	45	1831
2810	53	31	300	138	330	220	158	50	1802
2797	52	27	270	125	300	222	171	67	1774
2786	55	28	240	114	270	225	170	61	1746
2757	62	29	180	82	210	230	168	51	1689
2742	67	32	150	74	180	233	158	32	1661
2711	63	19	90	41	120	233	198	90	1605
2851	55	23	361	179	391	227	184	78	1851
2838	61	29	331	166	361	229	166	50	1822
2821	62	30	301	149	331	229	163	45	1793
2806	58	26	272	134	301	228	175	64	1765
2795	59	27	242	120	272	228	174	62	1736
2780	62	29	212	105	242	230	166	49	1708
2765	62	29	182	97	212	230	167	50	1679
2750	66	33	153	81	182	231	156	31	1651
2715	59	22	95	41	124	231	188	79	1594
2862	72	17	395	190	424	237	204	92	1871
2854	68	19	365	182	395	236	199	87	1842
2827	69	29	306	155	335	236	171	46	1784
2802	61	26	247	127	277	231	178	65	1727
2787	64	29	218	119	247	231	168	49	1698
2772	62	29	190	103	218	230	168	50	1670
2758	64	32	162	88	190	230	157	35	1641
2723	56	26	108	45	134	227	176	67	1584
2714	54	20	85	31	108	227	194	92	1556
2858	79	16	371	186	400	240	209	95	1834
2848	77	23	342	176	371	242	192	68	1805
2833	73	26	313	158	342	240	180	54	1776
2819	66	23	285	144	313	235	186	70	1747
2795	63	28	228	126	256	231	171	53	1690
2780	61	29	201	110	228	229	168	52	1661
2766	61	31	175	92	201	228	160	42	1632
2748	60	33	150	70	175	225	153	36	1604
2732	57	29	124	49	150	225	165	54	1575
2864	99	13	400	-63	437	241	221	108	1855
2836	78	23	323	161	351	242	191	66	1768
2823	70	21	295	155	323	237	193	77	1739
2814	63	21	268	145	295	233	191	80	1710
2802	62	26	242	132	268	231	176	62	1681
2788	60	28	216	114	242	229	169	54	1652
2743	57	33	134	60	153	222	154	40	1566
2827	71	19	309	158	335	237	198	84	1732
2819	62	18	283	149	306	232	199	92	1703
2810	62	24	256	136	277	232	184	71	1674
2796	62	27	228	118	247	231	174	59	1645
2783	57	27	201	100	218	227	173	63	1616
2734	65	31	120	51	134	231	161	38	1529
2823	59	16	295	149	313	230	204	101	1695
2815	62	22	268	137	285	233	190	80	1666
2802	63	25	240	119	256	232	180	65	1637
2779	57	27	180	100	201	227	171	60	1579
2742	68	34	120	59	150	232	152	24	1521
2726	71	31	90	59	120	236	164	36	1492
2828	61	14	300	150	323	231	210	108	1689
2821	65	19	270	138	295	234	197	87	1660
2798	59	22	210	119	240	230	187	78	1601
2773	68	34	150	90	180	232	154	26	1543
2824	69	17	272	141	300	236	205	95	1653
2813	67	21	242	134	270	236	194	81	1624
2803	62	21	212	120	240	233	193	83	1595
2793	65	24	182	110	210	234	184	68	1565
2779	70	32	153	112	180	235	161	33	1536
2758	71	36	124	87	150	233	146	13	1507
2827	67	15	277	148	300	234	208	102	1648
2809	63	20	218	126	240	233	196	86	1589
2799	67	23	190	132	210	235	186	70	1559
2785	70	30	162	114	180	236	168	41	1530
2743	72	34	108	62	120	235	154	0	1471
2822	65	17	256	139	272	234	203	96	1613
2803	68	23	201	132	212	237	189	72	1554
2790	71	28	175	114	182	237	174	49	1524
2748	73	34	120	62	124	236	154	0	1465
2734	69	28	90	48	95	236	172	49	1436
2818	71	18	240	147	247	237	203	90	1578
2808	75	22	210	132	218	240	193	73	1549
2795	77	26	180	114	190	242	182	55	1519
2780	79	35	150	94	162	240	156	17	1489
2754	77	34	120	68	134	239	157	0	1460
2740	73	28	90	67	108	239	176	49	1430
2796	84	25	182	110	201	246	188	57	1515
2781	83	33	153	95	175	244	166	24	1485
2742	77	27	95	65	120	242	179	49	1426
2811	82	22	218	125	240	244	195	70	1541
2798	83	25	190	112	210	245	187	57	1511
2783	82	31	162	110	180	244	171	34	1481
2763	80	33	134	86	150	242	163	24	1451
2745	77	28	108	65	120	242	177	46	1421
2785	82	29	175	108	180	245	177	42	1478
2767	80	32	150	87	150	243	165	27	1448
2748	79	29	120	64	120	243	175	43	1418
2801	77	26	210	124	210	242	182	55	1505
2787	78	28	180	107	180	242	177	46	1475
2771	80	32	150	87	150	243	166	28	1445
2751	82	30	120	67	120	245	174	38	1415
2774	80	33	150	90	153	242	163	24	1443
2753	84	32	120	84	124	245	168	27	1413
2796	76	30	180	112	190	240	171	39	1471
2756	84	35	120	83	134	244	158	13	1411
2781	81	35	150	108	175	242	156	15	1440
2759	85	37	124	83	150	243	150	2	1410
2735	88	35	95	55	120	246	161	0	1380
2784	85	34	120	0	182	245	161	16	1440
2762	83	38	120	37	153	241	148	0	1410
2735	81	36	108	51	124	241	154	0	1380
2765	80	36	90	-19	162	241	154	12	1410
2742	73	35	85	17	134	235	151	17	1380
2785	89	27	60	0	201	248	186	49	1441
2749	72	33	60	-35	150	236	158	27	1381
2732	67	28	42	7	120	234	173	52	1351
2796	101	21	42	11	242	250	206	74	1473
2785	89	22	30	0	212	247	199	71	1443
2772	76	26	30	-12	182	241	181	54	1413
2738	68	29	30	13	124	235	168	44	1353
2785	72	19	0	0	218	238	201	87	1445
2776	67	23	0	0	190	235	188	73	1415
2764	67	29	0	0	162	234	167	44	1385
2745	66	31	0	0	134	233	163	39	1355
2730	64	28	0	0	108	232	171	52	1325
2799	60	19	0	0	256	231	197	90	1478
2791	56	19	0	0	228	229	197	94	1448
2782	59	22	30	-2	201	231	189	80	1418
2770	64	28	30	-5	175	232	171	52	1388
2753	63	31	30	-10	150	230	162	42	1358
2738	58	29	30	-6	127	226	166	53	1328
2804	57	19	30	-4	268	229	197	93	1481
2797	54	18	30	-1	242	228	197	96	1451
